title
n = 25
8 4 6
8 5 5
8 6 2
8 7 3
8 8 1
8 9 10
8 10 6
8 11 4
8 12 10
8 13 2
8 14 10
8 15 9
8 16 2
8 17 10
8 18 8
8 19 2
8 20 2
8 21 3
8 22 1
8 23 10
8 24 1
8 25 9
9 1 8
9 2 3
9 3 2
9 4 2
9 5 10
9 6 6
9 7 9
9 8 2
9 9 10
9 10 5
9 11 8
9 12 3
9 13 5
9 14 9
9 15 8
9 16 4
9 17 10
9 18 8
9 19 8
9 20 3
9 21 5
9 22 8
9 23 8
9 24 6
9 25 7
10 1 2
10 2 10
10 3 9
10 4 8
10 5 2
10 6 7
10 7 5
10 8 6
10 9 1
10 10 8
10 11 6
10 12 8
10 13 3
10 14 4
10 15 10
10 16 7
10 17 8
10 18 4
10 19 9
10 20 3
10 21 6
10 22 5
10 23 10
10 24 9
10 25 5
11 1 8
11 2 9
11 3 10
11 4 4
11 5 7
11 6 7
11 7 2
11 8 9
11 9 5
11 10 6
11 11 6
11 12 2
11 13 10
11 14 10
11 15 10
11 16 1
11 17 7
11 18 8
11 19 8
11 20 8
11 21 3
11 22 9
11 23 8
11 24 7
11 25 9
12 1 4
12 2 7
12 3 4
12 4 10
12 5 8
12 6 10
12 7 5
12 8 6
12 9 1
12 10 9
12 11 5
12 12 6
12 13 7
12 14 2
12 15 7
12 16 2
12 17 7
12 18 7
12 19 4
12 20 4
12 21 4
12 22 4
12 23 1
12 24 6
12 25 9
13 1 8
13 2 9
13 3 9
13 4 4
13 5 7
13 6 9
13 7 2
13 8 3
13 9 1
13 10 5
13 11 10
13 12 7
13 13 4
13 14 8
13 15 10
13 16 8
13 17 9
13 18 4
13 19 9
13 20 3
13 21 1
13 22 3
13 23 3
13 24 10
13 25 1
14 1 2
14 2 9
14 3 2
14 4 4
14 5 4
14 6 9
14 7 10
14 8 3
14 9 3
14 10 10
14 11 6
14 12 3
14 13 2
14 14 8
14 15 3
14 16 3
14 17 4
14 18 5
14 19 5
14 20 7
14 21 3
14 22 8
14 23 10
14 24 10
14 25 9
15 1 7
15 2 9
15 3 8
15 4 4
15 5 8
15 6 2
15 7 7
15 8 1
15 9 4
15 10 8
15 11 1
15 12 9
15 13 7
15 14 4
15 15 4
15 16 5
15 17 4
15 18 1
15 19 6
15 20 9
15 21 5
15 22 8
15 23 9
15 24 5
15 25 6
16 1 7
16 2 4
16 3 6
16 4 2
16 5 5
16 6 7
16 7 6
16 8 1
16 9 1
16 10 1
16 11 8
16 12 2
16 13 2
16 14 2
16 15 8
16 16 9
16 17 3
16 18 2
16 19 4
16 20 10
16 21 7
16 22 8
16 23 4
16 24 5
16 25 7
17 1 8
17 2 7
17 3 4
17 4 6
17 5 10
17 6 3
17 7 8
17 8 4
17 9 3
17 10 3
17 11 6
17 12 6
17 13 8
17 14 9
17 15 2
17 16 10
17 17 4
17 18 8
17 19 4
17 20 9
17 21 9
17 22 7
17 23 10
17 24 6
17 25 5
18 1 8
18 2 10
18 3 4
18 4 1
18 5 9
18 6 7
18 7 2
18 8 1
18 9 5
18 10 5
18 11 1
18 12 2
18 13 9
18 14 4
18 15 2
18 16 8
18 17 5
18 18 5
18 19 7
18 20 1
18 21 2
18 22 1
18 23 8
18 24 8
18 25 7
19 1 3
19 2 1
19 3 10
19 4 9
19 5 10
19 6 4
19 7 4
19 8 4
19 9 6
19 10 7
19 11 5
19 12 2
19 13 2
19 14 4
19 15 7
19 16 5
19 17 8
19 18 9
19 19 5
19 20 9
19 21 7
19 22 6
19 23 6
19 24 3
19 25 5
20 1 6
20 2 8
20 3 6
20 4 7
20 5 9
20 6 6
20 7 8
20 8 2
20 9 5
20 10 2
20 11 7
20 12 5
20 13 5
20 14 9
20 15 6
20 16 1
20 17 10
20 18 4
20 19 2
20 20 5
20 21 8
20 22 10
20 23 6
20 24 6
20 25 5
21 1 8
21 2 9
21 3 1
21 4 1
21 5 9
21 6 1
21 7 10
21 8 7
21 9 1
21 10 7
21 11 2
21 12 3
21 13 10
21 14 10
21 15 10
21 16 2
21 17 5
21 18 8
21 19 5
21 20 10
21 21 6
21 22 7
21 23 8
21 24 10
21 25 10
22 1 7
22 2 5
22 3 8
22 4 10
22 5 6
22 6 9
22 7 6
22 8 10
22 9 9
22 10 4
22 11 3
22 12 5
22 13 10
22 14 8
22 15 9
22 16 4
22 17 8
22 18 5
22 19 1
22 20 3
22 21 7
22 22 8
22 23 7
22 24 9
22 25 2
23 1 7
23 2 8
23 3 8
23 4 2
23 5 7
23 6 8
23 7 7
23 8 3
23 9 8
23 10 1
23 11 7
23 12 10
23 13 2
23 14 8
23 15 1
23 16 7
23 17 5
23 18 1
23 19 6
23 20 3
23 21 10
23 22 8
23 23 7
23 24 7
23 25 1
24 1 4
24 2 5
24 3 6
24 4 10
24 5 5
24 6 2
24 7 4
24 8 6
24 9 6
24 10 7
24 11 10
24 12 2
24 13 1
24 14 2
24 15 9
24 16 3
24 17 6
24 18 3
24 19 2
24 20 9
24 21 10
24 22 8
24 23 8
24 24 10
24 25 2
25 1 9
25 2 7
25 3 7
25 4 2
25 5 7
25 6 3
25 7 5
25 8 4
25 9 9
25 10 5
25 11 1
25 12 10
25 13 10
25 14 8
25 15 1
25 16 9
25 17 9
25 18 1
25 19 6
25 20 4
25 21 6
25 22 2
25 23 1
25 24 2
25 25 10
1 1 1 0.15610640554032862
1 1 2 0.29244782501414024
1 1 3 0.36464272827855027
1 1 4 0.12122212589652093
1 1 5 0.39693364697904754
1 1 6 0.22008716929890804
1 1 7 0.022577752834273435
1 1 8 0.10569183810151006
1 1 9 0.24122421448576836
1 1 10 0.38173049690905314
1 1 11 0.39698527309505394
1 1 12 0.49065813033203187
1 1 14 0.03478923586714333
1 1 15 0.13299032467516791
1 1 16 0.2790347918408077
1 1 17 0.323811376789381
1 1 18 0.4932657235848068
1 1 19 0.07368319423337777
1 1 20 0.33603329677753935
1 1 21 0.4728610657987523
1 1 22 0.45610386360602695
1 1 23 0.3949719730418356
1 1 24 0.14612091903752655
1 1 25 0.2701686972315125
1 2 1 0.05126616918160232
1 2 2 0.15546267176147377
1 2 3 0.10050202740266023
1 2 4 0.4880301761387338
1 2 5 0.4134257247317026
1 2 6 0.022495076722757856
1 2 8 0.2101784389154273
1 2 10 0.3487498027554764
1 2 11 0.3178953689009565
1 2 12 0.2740737372572728
1 2 13 0.05907678993593257
1 2 14 0.37372179619929646
1 2 15 0.4026591774382955
1 2 16 0.2310548034637786
1 2 17 0.0362942663188468
1 2 18 0.2737890160476173
1 2 20 0.10008333418121118
1 2 21 0.20493541924948933
1 2 22 0.2686131763555224
1 2 23 0.42073769009077866
1 2 24 0.042804166156794055
1 2 25 0.44893220112091325
1 3 1 0.15589039728820697
1 3 3 0.07984812185997958
1 3 4 0.49711914072208363
1 3 5 0.2871320864773651
1 3 6 0.22771159229180604
1 3 7 0.020791612061127118
1 3 8 0.3089912193542381
1 3 9 0.0706819801834403
1 3 10 0.26337120056849206
1 3 13 0.2763811561946834
1 3 14 0.07518589545889787
1 3 15 0.26184805915221276
1 3 16 0.22816942932505535
1 3 17 0.39679983094852256
1 3 18 0.26590779093205685
1 3 19 0.20383958903915145
1 3 20 0.08795884650101782
1 3 22 0.2904312355652704
1 3 23 0.46281101557919646
1 3 24 0.48499495934990877
1 4 1 0.23683975837656757
1 4 2 0.42694808908616566
1 4 3 0.46537368939761825
1 4 4 0.09754681516670383
1 4 5 0.007439526982768285
1 4 6 0.19124063527961888
1 4 7 0.19500412052689708
1 4 8 0.008083882335672476
1 4 9 0.22283143021368768
1 4 10 0.38181059691633235
1 4 11 0.143929848953691
1 4 12 0.06640758749030706
1 4 13 0.017580220562123827
1 4 15 0.43282190992811276
1 4 16 0.45869018264387507
1 4 17 0.02099471888517901
1 4 18 0.3316029839676228
1 4 19 0.3968921272052153
1 4 21 0.18899916563573438
1 4 22 0.4997041661814574
1 4 23 0.16362048185047728
1 4 24 0.18411626463182706
1 4 25 0.42591608004108694
1 5 1 0.35919827230082046
1 5 3 0.3858590787908317
1 5 4 0.08734339842066674
1 5 5 0.282938839023532
1 5 7 0.02488879300978375
1 5 8 0.15482538195523665
1 5 10 0.17627248096210435
1 5 11 0.17544842228817914
1 5 12 0.4173851073093131
1 5 13 0.12514214694864823
1 5 14 0.14250773154774687
1 5 15 0.040371158440426824
1 5 16 0.49227294708489666
1 5 17 0.3159169196115741
1 5 18 0.28089614197304213
1 5 19 0.07477300241828722
1 5 20 0.21916764714272907
1 5 21 0.21756841586264786
1 5 22 0.048843579460835285
1 5 23 0.07910336746409186
1 5 24 0.42611625442080325
1 5 25 0.2706300740994376
1 6 1 0.4191696662597999
1 6 2 0.15331027362853933
1 6 3 0.25504025097004024
1 6 4 0.3780460935997957
1 6 5 0.3444952665351475
1 6 6 0.1574223473371229
1 6 7 0.32171204410608345
1 6 8 0.354295056977998
1 6 9 0.05780171418664837
1 6 10 0.43528263908003395
1 6 11 0.10900522073863961
1 6 12 0.45273705133950826
1 6 13 0.37029499065240734
1 6 14 0.03926673403273495
1 6 15 0.3550526304787639
1 6 16 0.3372309722907607
1 6 17 0.08388623893509373
1 6 18 0.20354854293701297
1 6 19 0.34985813661377174
1 6 20 0.11528710476900716
1 6 21 0.007112673862084917
1 6 22 0.3643743355675334
1 6 23 0.3763195187651458
1 6 24 0.08382257506548074
1 6 25 0.39716277030812375
1 7 1 0.32183090896319544
1 7 2 0.2831453673259141
1 7 3 0.2557885248579157
1 7 4 0.16142844348359542
1 7 5 0.35103375069568166
1 7 6 0.2837793240469809
1 7 7 0.05825645511928135
1 7 8 0.006515618052980288
1 7 9 0.2669330586864348
1 7 10 0.031692164457656324
1 7 11 0.4727595402457855
1 7 12 0.1644865210288261
1 7 13 0.06949769828148322
1 7 14 0.10643850048145276
1 7 15 0.3856162965133191
1 7 16 0.18349747070402533
1 7 17 0.47864771286988494
1 7 18 0.4181508016586115
1 7 19 0.20479919685736392
1 7 20 0.027113398459082227
1 7 21 0.29536770121675704
1 7 22 0.31242736579163555
1 7 23 0.16970303478634718
1 7 24 0.4300418984875919
1 7 25 0.34604227448455016
1 8 1 0.4033614444394935
1 8 2 0.4100232460192559
1 8 3 0.4806165826823986
1 8 5 0.10707414050950748
1 8 6 0.35676995067555817
1 8 7 0.395059691754833
1 8 8 0.37873743517282477
1 8 9 0.24770913310965592
1 8 10 0.4375389472029102
1 8 11 0.3895869184848889
1 8 12 0.4656858109742883
1 8 13 0.1897564913028129
1 8 14 0.16723159455928227
1 8 16 0.0790647870942136
1 8 17 0.4813379824340991
1 8 18 0.4387962313239764
1 8 19 0.4093699989404874
1 8 20 0.11802610730870977
1 8 21 0.37383662778123683
1 8 22 0.08615501289118721
1 8 23 0.3077432801288973
1 8 24 0.054005660896315644
1 9 1 0.19901922372162617
1 9 2 0.22312811747955819
1 9 3 0.09868404345658865
1 9 4 0.1784285802044926
1 9 5 0.40453790639284526
1 9 6 0.19997062455240455
1 9 7 0.2724914630851015
1 9 8 0.023118981494693047
1 9 9 0.12807982530185158
1 9 10 0.18911273593336386
1 9 11 0.47308198435644633
1 9 12 0.24284803348839723
1 9 13 0.03684981632187956
1 9 14 0.3120798741667823
1 9 15 0.2730318651797189
1 9 16 0.1685716833824238
1 9 17 0.005086414563475694
1 9 18 0.20888320428504314
1 9 19 0.3817675930578037
1 9 20 0.2593424215056097
1 9 21 0.36023064688337003
1 9 22 0.12435812062686136
1 9 23 0.4499608408894098
1 9 24 0.13615017324532408
1 9 25 0.1656800046497191
1 10 1 0.47790497545647737
1 10 2 0.1985065426372553
1 10 3 0.21279984861576895
1 10 4 0.30092812680184833
1 10 5 0.4783040208271018
1 10 6 0.44502854771056266
1 10 7 0.41824440910844907
1 10 8 0.263258133769221
1 10 9 0.16345612010022126
1 10 10 0.3758685437674437
1 10 11 0.0967931293151687
1 10 12 0.04537898766710835
1 10 13 0.28959896019725573
1 10 15 0.2955742344250005
1 10 16 0.3560409189788999
1 10 17 0.1450629099501537
1 10 18 0.4960540777590191
1 10 19 0.2492732746373455
1 10 21 0.05540573892052125
1 10 22 0.07293329215714206
1 10 23 0.05271054868891267
1 10 25 0.18382699919606305
1 11 1 0.4595899873698822
1 11 2 0.4563979698796917
1 11 3 0.3710093623000954
1 11 4 0.24824920252478389
1 11 5 0.11339246722539653
1 11 6 0.04412924880651792
1 11 7 0.355418228580587
1 11 9 0.23471245131339347
1 11 10 0.18415586325754296
1 11 12 0.14265122258751006
1 11 13 0.3890235642541202
1 11 14 0.4891384735729183
1 11 15 0.16304236165817187
1 11 16 0.20731955677314173
1 11 17 0.06448555978960657
1 11 18 0.4266784082682581
1 11 19 0.19751579537664998
1 11 20 0.1649455504600219
1 11 21 0.3898989695492433
1 11 22 0.16285323204929858
1 11 24 0.16186655411420614
1 12 1 0.27740003104747823
1 12 2 0.4822840870429842
1 12 3 0.3806007698394711
1 12 4 0.20856900705228054
1 12 6 0.2655736065674593
1 12 7 0.009993094918700263
1 12 8 0.254765824584515
1 12 9 0.11430646352061802
1 12 11 0.12994314460805922
1 12 12 0.4999369227210563
1 12 13 0.2764122102473099
1 12 14 0.43305221664700944
1 12 15 0.35453755316050795
1 12 16 0.17324174796500702
1 12 17 0.062183107948366345
1 12 18 0.32424287584495026
1 12 19 0.27556887941903485
1 12 20 0.16098192124509636
1 12 21 0.25768640619598193
1 12 22 0.05858220757230648
1 12 23 0.20145483807494902
1 12 24 0.02059955696264948
1 12 25 0.1484746415427214
1 13 1 0.18293880604108148
1 13 2 0.18914689547129715
1 13 3 0.3354921730009919
1 13 4 0.04867371912610374
1 13 5 0.467992659953131
1 13 6 0.16120179717985084
1 13 7 0.31255251596036593
1 13 8 0.4635269106983314
1 13 9 0.19368108282974528
1 13 10 0.20341888679836617
1 13 11 0.47286149822220536
1 13 12 0.16478643246876878
1 13 13 0.16244358994020258
1 13 14 0.18080177707169476
1 13 16 0.19042885933172027
1 13 17 0.07597088023895004
1 13 18 0.24535129067138195
1 13 19 0.45893360979992626
1 13 20 0.3203056962792892
1 13 21 0.08806222586312973
1 13 22 0.23024451710498828
1 13 23 0.4008488250078256
1 13 25 0.24519897197909812
1 14 1 0.022180975485086463
1 14 3 0.49570018736967014
1 14 4 0.06813525912014085
1 14 5 0.10781810336456388
1 14 6 0.39670879446956664
1 14 7 0.47636205947520105
1 14 8 0.4285247673589484
1 14 9 0.49980339039073973
1 14 10 0.40288109890639556
1 14 11 0.13240626672849398
1 14 12 0.07983180473393314
1 14 13 0.06267752039993191
1 14 14 0.25621626084227767
1 14 15 0.2903694796141929
1 14 16 0.313976592838471
1 14 17 0.041474771097110175
1 14 18 0.24933124186573197
1 14 19 0.014143402166968744
1 14 20 0.14687307861513854
1 14 21 0.3136586088591701
1 14 22 0.29732583736669316
1 14 23 0.2263912693553397
1 14 24 0.3207549235465509
1 14 25 0.12189879001949
1 15 1 0.32612141704104813
1 15 2 0.043610647264653024
1 15 3 0.4624209947730623
1 15 4 0.2881928915135581
1 15 5 0.20998431636482517
1 15 6 0.3749338417254785
1 15 7 0.13889411637914384
1 15 8 0.2735607453880544
1 15 9 0.014392198722662175
1 15 10 0.3257997260949014
1 15 11 0.43511528615568296
1 15 12 0.3041734648893387
1 15 13 0.13360827028351518
1 15 15 0.30160029214195616
1 15 16 0.35368846694820577
1 15 17 0.19217189522791767
1 15 18 0.1874814524979137
1 15 19 0.2843567304914274
1 15 20 0.08466760597747625
1 15 21 0.21856057989341582
1 15 22 0.27152310060106233
1 15 23 0.01277412339106343
1 15 24 0.00650148110681481
1 15 25 0.3414488014706235
1 16 1 0.3814708184895108
1 16 2 0.16540092287132657
1 16 3 0.051869206547593194
1 16 4 0.4953633480645556
1 16 5 0.49021801802782516
1 16 6 0.25331682292939295
1 16 7 0.1225050614828832
1 16 8 0.4066744595107262
1 16 9 0.18982063360689783
1 16 10 0.37289722222587274
1 16 11 0.4363534992295769
1 16 12 0.2070617335471684
1 16 13 0.35134708209775045
1 16 14 0.1620141793968466
1 16 15 0.3326328289161907
1 16 16 0.11505880364466492
1 16 17 0.10611954660029665
1 16 18 0.0724125868833626
1 16 19 0.38677204178357427
1 16 21 0.0064403481084182035
1 16 22 0.04216827492135011
1 16 23 0.23231879456274374
1 16 24 0.010051715042137088
1 17 1 0.2954129378229089
1 17 2 0.47727438281148393
1 17 3 0.22333971160180788
1 17 4 0.4308226823675192
1 17 5 0.20256340109528392
1 17 7 0.498224154057622
1 17 8 0.2281091160402967
1 17 9 0.24137798560193946
1 17 10 0.1812423866595524
1 17 11 0.13657285023251842
1 17 12 0.2567155256333816
1 17 13 0.15773058018928598
1 17 14 0.48823464677665807
1 17 15 0.09863293368464432
1 17 16 0.47376522804266796
1 17 17 0.19998430943641932
1 17 18 0.22305519241469218
1 17 19 0.43536506135399
1 17 20 0.06777705881478224
1 17 21 0.018343653992051512
1 17 22 0.20388699737368332
1 17 23 0.30474594149853396
1 17 24 0.0371791331931659
1 17 25 0.43513426867649807
1 18 1 0.4274199852661198
1 18 3 0.28861372764341553
1 18 4 0.04636866747914481
1 18 5 0.3036497043840598
1 18 6 0.21314178819611862
1 18 7 0.3006401634988426
1 18 8 0.28144912577638936
1 18 9 0.2842171172775261
1 18 10 0.48947645033364406
1 18 11 0.4002827466457701
1 18 12 0.13796613779794087
1 18 13 0.28065684646360967
1 18 14 0.16692490440038776
1 18 15 0.4573070499901246
1 18 16 0.2665234115622115
1 18 17 0.220266293730923
1 18 18 0.3363778869034576
1 18 19 0.3990630362455293
1 18 21 0.3596682575316825
1 18 22 0.10124765878767505
1 18 23 0.14192752182973523
1 18 24 0.38591973266079593
1 19 1 0.019634064194696377
1 19 2 0.13222416568826545
1 19 3 0.048328840877826296
1 19 6 0.06967400997408646
1 19 7 0.29244815653232803
1 19 8 0.4463383896476223
1 19 10 0.31789985486156946
1 19 11 0.1263142425267818
1 19 12 0.07449561355811696
1 19 13 0.30235647772804297
1 19 14 0.013239564528486736
1 19 15 0.19933836804449856
1 19 17 0.28599665760665594
1 19 18 0.030644040214915624
1 19 19 0.368375240208351
1 19 20 0.4375592613482048
1 19 21 0.050462290693986334
1 19 22 0.03525421969092313
1 19 23 0.03818942503859113
1 19 24 0.4812777933089122
1 19 25 0.016584362647770745
1 20 1 0.2643422296415634
1 20 3 0.3705976035654933
1 20 4 0.1118389228870249
1 20 5 0.2010370771799297
1 20 6 0.11968327951689983
1 20 7 0.06536227566086195
1 20 8 0.04580995699504342
1 20 9 0.3466167551994179
1 20 10 0.4422806906441358
1 20 11 0.33407302419334195
1 20 12 0.46525743008314424
1 20 13 0.11133038065397727
1 20 14 0.21366439920603808
1 20 15 0.27569393114081153
1 20 16 0.19271802836326213
1 20 17 0.117939368865972
1 20 18 0.031672515944845436
1 20 19 0.48345658225236743
1 20 20 0.3779944458731743
1 20 21 0.4772573005780627
1 20 22 0.45323749356372667
1 20 24 0.25953347529961424
1 20 25 0.37077388750756335
1 21 5 0.25202817479119066
1 21 6 0.3112619048756198
1 21 7 0.2633269691032758
1 21 8 0.24906634472229194
1 21 9 0.0352984741556146
1 21 10 0.2060947459934186
1 21 11 0.13429568943028947
1 21 12 0.1631791849862827
1 21 13 0.19761784606152988
1 21 14 0.13074649436965868
1 21 15 0.11116585495906905
1 21 16 0.32775534104854576
1 21 17 0.265373832789479
1 21 19 0.14909659081747362
1 21 20 0.2274871750636357
1 21 22 0.3403291708503562
1 21 23 0.0056275714645928065
1 21 24 0.35315718426124476
1 22 1 0.16307521056285712
1 22 3 0.17159860243601777
1 22 4 0.16250555635453356
1 22 5 0.08061672625321636
1 22 6 0.10334041721793419
1 22 7 0.23163869521612546
1 22 8 0.06637877021747074
1 22 9 0.1660326174981227
1 22 10 0.49477865412216615
1 22 11 0.03426775599470644
1 22 12 0.08832053266970075
1 22 13 0.4506050551617623
1 22 14 0.31880452795382996
1 22 15 0.06707139676602525
1 22 16 0.36807443913145377
1 22 17 0.2548458647717079
1 22 18 0.298780313448492
1 22 19 0.011967204679014132
1 22 20 0.05759242767580719
1 22 21 0.09621124377239598
1 22 22 0.3240161230817771
1 22 23 0.11813068839476981
1 22 24 0.3836288513716042
1 22 25 0.1761498377992461
1 23 1 0.48188335606387744
1 23 2 0.2043224162406213
1 23 4 0.31010693723616545
1 23 5 0.1794633618238406
1 23 6 0.19700787374093442
1 23 7 0.4696632522418023
1 23 8 0.369170527950166
1 23 9 0.4512901546428394
1 23 10 0.38728006619291444
1 23 11 0.3367628400549598
1 23 13 0.29320576813810695
1 23 14 0.28003201823442103
1 23 15 0.14038100413291
1 23 17 0.03946864349791668
1 23 18 0.08497659142879133
1 23 19 0.12485270754307842
1 23 20 0.27093944730557296
1 23 21 0.3436846556528882
1 23 22 0.09209938241298476
1 23 24 0.23789418215184843
1 23 25 0.03651570355860034
1 24 1 0.34966051455027025
1 24 2 0.21494810827530975
1 24 3 0.15204837271991412
1 24 5 0.21602611299774388
1 24 6 0.19813030597262904
1 24 7 0.31909344358650105
1 24 8 0.3057899659035034
1 24 9 0.19861762903576796
1 24 11 0.19597311979838394
1 24 12 0.24872634659913595
1 24 14 0.1341927929374661
1 24 15 0.49551844226351327
1 24 16 0.08335145313125347
1 24 17 0.4249569213921578
1 24 18 0.20831182716381236
1 24 19 0.2373333100604902
1 24 20 0.04690258247353285
1 24 21 0.29756655371916774
1 24 22 0.37442544907634323
1 24 23 0.35449223748629943
1 24 24 0.02307527330307446
1 24 25 0.1622274120917745
1 25 1 0.06221381422518135
1 25 2 0.22546076613804078
1 25 3 0.4906299753652599
1 25 4 0.46299175601203113
1 25 5 0.1759211420553618
1 25 6 0.1888852601546287
1 25 7 0.017637375355976093
1 25 9 0.3104531206205331
1 25 10 0.2028948022120003
1 25 11 0.21050325246289392
1 25 12 0.14781388478862068
1 25 13 0.3697923487904513
1 25 14 0.32355950362777486
1 25 15 0.17290273206648665
1 25 16 0.2035712040446339
1 25 17 0.09994853919624858
1 25 18 0.2914779592651223
1 25 19 0.1988424531830152
1 25 20 0.06541157559483979
1 25 21 0.3914966586612788
1 25 23 0.4988558132606564
1 25 24 0.34895715373156233
1 25 25 0.2646569455486869
2 1 1 0.4364346320389543
2 1 2 0.23269133627338223
2 1 3 0.1206619972744909
2 1 4 0.2596093634463412
2 1 5 0.24402618579905755
2 1 6 0.07642811363199609
2 1 7 0.21234051560441014
2 1 9 0.2071132099258005
2 1 10 0.18372988802619517
2 1 11 0.14640531406994395
2 1 12 0.2761090579368498
2 1 13 0.37543535505710346
2 1 14 0.27668479185566663
2 1 15 0.04376203440837434
2 1 16 0.024108479699714636
2 1 17 0.03243148379163385
2 1 18 0.022689678411961456
2 1 19 0.20206482100023593
2 1 22 0.1662297341103517
2 1 23 0.15227212709615046
2 1 24 0.3059712035981548
2 1 25 0.37770983128963165
2 2 1 0.28959197378726
2 2 2 0.12071056622490206
2 2 3 0.2703089789036346
2 2 4 0.3957938110273648
2 2 5 0.09935993740238769
2 2 6 0.28804674126167296
2 2 7 0.42248331257277016
2 2 8 0.04747530737624228
2 2 9 0.3971235767199329
2 2 10 0.05355727559000445
2 2 11 0.08875809545285551
2 2 13 0.026379571225127796
2 2 14 0.31316620685112695
2 2 15 0.22346756148386526
2 2 16 0.06324239725924952
2 2 17 0.26785029832899643
2 2 18 0.24418985418500705
2 2 19 0.1634483331529153
2 2 20 0.07444366499519439
2 2 21 0.2803063606738334
2 2 22 0.0927155531923588
2 2 23 0.16009744074048127
2 2 24 0.4070962108872247
2 2 25 0.08596974865181606
2 3 1 0.47646303141486934
2 3 2 0.16926838738665861
2 3 3 0.10683050339837774
2 3 4 0.4693720183520751
2 3 5 0.46810356642358075
2 3 7 0.48015422824262977
2 3 8 0.46527778855693935
2 3 9 0.214083013978691
2 3 11 0.06782868839053324
2 3 12 0.4119877202974188
2 3 13 0.41872040262474186
2 3 14 0.16478014438608513
2 3 15 0.18645377530054952
2 3 16 0.23164889649049603
2 3 17 0.3950776154126483
2 3 18 0.09192579390833389
2 3 19 0.01259190332453497
2 3 20 0.42582158292685746
2 3 21 0.49245522577902856
2 3 22 0.19776264885346384
2 3 23 0.47596193409835197
2 3 24 0.3196035849902722
2 3 25 0.18200843334846306
2 4 1 0.1363061873696949
2 4 2 0.41487434248879407
2 4 4 0.2748195665446087
2 4 5 0.16530520134538962
2 4 7 0.059285779744817524
2 4 8 0.463495294197265
2 4 9 0.304819592800775
2 4 10 0.4032220615376758
2 4 11 0.1744190626776715
2 4 12 0.3197259944202616
2 4 13 0.12000934351737791
2 4 14 0.40020920041003505
2 4 16 0.42388900121956274
2 4 17 0.3040476107171626
2 4 18 0.2706557177021114
2 4 19 0.44232239190463973
2 4 20 0.09624565179077982
2 4 21 0.03716685308886403
2 4 22 0.05250287305172141
2 4 23 0.17396274105543408
2 4 24 0.27899635399046085
2 4 25 0.33461439956815087
2 5 1 0.1854316581134492
2 5 2 0.28223893068655204
2 5 3 0.43763116325292484
2 5 4 0.0026260124321149103
2 5 5 0.27044976924252795
2 5 6 0.10422526511746488
2 5 7 0.445501604116154
2 5 8 0.1593470572741401
2 5 9 0.4484475946038481
2 5 10 0.26259333178108035
2 5 11 0.1942987209394469
2 5 12 0.068276953698169
2 5 13 0.3998065618267366
2 5 14 0.3641117818318792
2 5 15 0.2556073149703696
2 5 16 0.47710366938310333
2 5 17 0.09458994490534323
2 5 18 0.1205689385120935
2 5 19 0.2777364723128085
2 5 20 0.33379506730436803
2 5 21 0.1918908925476266
2 5 22 0.26410113828978166
2 5 23 0.04028631426880269
2 5 24 0.22116331417840684
2 5 25 0.0519612391780212
2 6 1 0.10702795085808114
