title
n = 20
1 4 9 0.34454694388891316
1 4 10 0.24855424252063252
1 4 11 0.21558473547854007
1 4 12 0.44690396967576385
1 4 13 0.28779804331655223
1 4 14 0.38744263839878945
1 4 15 0.1554217392041075
1 4 16 0.13830979376649633
1 4 17 0.35429382438284296
1 4 18 0.14966957661745872
1 4 19 0.00623361088992902
1 5 1 0.2259431553037382
1 5 2 0.16677088112755845
1 5 3 0.11380413062452333
1 5 4 0.28824134427137926
1 5 5 0.07920139641740098
1 5 6 0.41237486401669743
1 5 7 0.3243762128863873
1 5 8 0.1940000071028135
1 5 9 0.15693465623887037
1 5 10 0.032079062815794535
1 5 11 0.24797408882591343
1 5 12 0.36550972697492423
1 5 13 0.2314966166070962
1 5 14 0.04523126985839443
1 5 15 0.29063242871298856
1 5 16 0.19477825765166512
1 5 17 0.06165855845541102
1 5 18 0.18523576339440895
1 5 20 0.4998658406155574
1 6 1 0.42547569660637585
1 6 2 0.40830064306104386
1 6 3 0.23148684216591986
1 6 4 0.42540418365429356
1 6 5 0.05889964984262219
1 6 6 0.08324914223066171
1 6 7 0.12370616444394
1 6 8 0.14791462310054215
1 6 10 0.34650945575126246
1 6 11 0.4076447640058206
1 6 12 0.032274263627610655
1 6 13 0.08301732087546243
1 6 14 0.08540217002701278
1 6 15 0.13541090132374367
1 6 16 0.057996970009374205
1 6 17 0.07493431292538344
1 6 18 0.21750734293262552
1 6 20 0.11503848108062453
1 7 1 0.24757250015822996
1 7 2 0.25929518145108765
1 7 3 0.07629938480314846
1 7 4 0.035007891051188844
1 7 5 0.11561414564853956
1 7 7 0.47300050017830775
1 7 8 0.16331813737470635
1 7 10 0.2598905949326539
1 7 11 0.4087523442863298
1 7 12 0.30367204069686704
1 7 13 0.48358300778050034
1 7 14 0.1692203856894463
1 7 15 0.32705589828073345
1 7 16 0.41350089319952843
1 7 17 0.16227578112364072
1 7 18 0.07272965274534238
1 7 20 0.2374977798153003
1 8 1 0.1455255454451435
1 8 2 0.15974033616765626
1 8 3 0.41180037091393906
1 8 4 0.11151111085604481
1 8 5 0.1433654670085257
1 8 6 0.14065941704300955
1 8 7 0.28141495203610734
1 8 8 0.037986642342021315
1 8 9 0.4597928484821101
1 8 10 0.32189869087871703
1 8 11 0.04830453145519298
1 8 12 0.28942522984777463
1 8 13 0.25051137517136823
1 8 14 0.17127650587624177
1 8 15 0.2469926434046429
1 8 16 0.4940762017806436
1 8 17 0.09451511577895888
1 8 18 0.18525806478865336
1 8 19 0.22727727499435202
1 8 20 0.2811929804768818
1 9 1 0.06998827430896493
1 9 2 0.3026493138103561
1 9 3 0.02363427886174818
1 9 4 0.19271053925184944
1 9 5 0.11294886960487582
1 9 6 0.22760893978768393
1 9 7 0.029180826263877968
1 9 8 0.12950327644306747
1 9 9 0.09998902662644071
1 9 10 0.04564029219356869
1 9 11 0.05375188152894883
1 9 12 0.12480451394884073
1 9 13 0.23054322980973185
1 9 15 0.41483980774381424
1 9 16 0.045295670532528365
1 9 18 0.1390398146049241
1 9 19 0.39836016056361234
1 9 20 0.39498689902940476
1 10 1 0.06309105672268989
1 10 2 0.18176890222998432
1 10 3 0.33165283697763914
1 10 4 0.2544374748190905
1 10 5 0.23112250180308225
1 10 6 0.4690228235090441
1 10 7 0.29503039526295816
1 10 8 0.17788947616799955
1 10 9 0.29086787432777017
1 10 10 0.42786380398000823
1 10 11 0.007376227223295673
1 10 12 0.13612718824256764
1 10 13 0.3870142488503725
1 10 14 0.03999846980607191
1 10 15 0.32181877757885624
1 10 16 0.307378653527559
1 10 17 0.22004085076551694
1 10 18 0.23838628367978365
1 10 19 0.33486304519923205
1 10 20 0.19064049477859668
1 11 1 0.08106368291689026
1 11 2 0.02306533993067228
1 11 3 0.36453960042652755
1 11 4 0.1627729153894304
1 11 5 0.35414518981070753
1 11 6 0.3859418780735231
1 11 7 0.29185267995892805
1 11 8 0.3998616154341952
1 11 10 0.32144331888385924
1 11 11 0.31864391874785836
1 11 12 0.1567129176244223
1 11 13 0.4256600262422633
1 11 14 0.35063156310910515
1 11 15 0.39704337991817595
1 11 16 0.1520702452685737
1 11 17 0.0895021146194076
1 11 18 0.382217647316633
1 11 20 0.03189811470635595
1 12 1 0.2712211736112782
1 12 2 0.4273159563417215
1 12 4 0.040414209766364007
1 12 5 0.0817497890506661
1 12 6 0.19732107868154947
1 12 7 0.29003807879500154
1 12 8 0.44670514156850405
1 12 9 0.1871810787254975
1 12 10 0.29759810076005766
1 12 11 0.37934216636681883
1 12 12 0.27312127230324257
1 12 13 0.10141811980763837
1 12 14 0.48183495037699076
1 12 15 0.2001947839421654
1 12 16 0.487002150990385
1 12 17 0.16823146331761418
1 12 18 0.3627755579545481
1 12 20 0.16477536484091115
1 13 1 0.09133102301435425
1 13 2 0.0799181633642505
1 13 3 0.25548870425420034
1 13 4 0.045109890211098236
1 13 5 0.022553509135849414
1 13 6 0.029430533469785525
1 13 7 0.46530194631273625
1 13 8 0.44697614016866405
1 13 9 0.29998900595563216
1 13 11 0.4039919417414227
1 13 12 0.29116422638153583
1 13 13 0.06800456300628788
1 13 14 0.1791808791616698
1 13 15 0.36863721334032484
1 13 16 0.007903156375329012
1 13 17 0.053962903475005874
1 13 18 0.4591288899208822
1 13 19 0.43360246988099693
1 13 20 0.23639227486782977
1 14 1 0.37578820222009046
1 14 2 0.13341706688090071
1 14 4 0.34160888200577944
1 14 5 0.14109621436119213
1 14 6 0.08991047738945979
1 14 7 0.4851738144961746
1 14 9 0.09222918125930002
1 14 10 0.005998101455966909
1 14 11 0.08611776605594235
1 14 12 0.3577475421612034
1 14 13 0.4752013415358771
1 14 14 0.3902070536108766
1 14 15 0.4877339956232787
1 14 16 0.16341300654953794
1 14 17 0.1358865966567966
1 14 18 0.0027520582269312532
1 14 19 0.4789165606265747
1 14 20 0.21782772986683618
1 15 1 0.21964658702718132
1 15 2 0.10655967013428957
1 15 3 0.3809223633883996
1 15 4 0.05789031569643821
1 15 5 0.49968996122567255
1 15 6 0.38109544149739905
1 15 7 0.044784861390954056
1 15 9 0.29673623906284297
1 15 10 0.3091186364976438
1 15 11 0.45423624349467373
1 15 12 0.3802893297391228
1 15 13 0.040491566840885285
1 15 14 0.4756527916520815
1 15 15 0.20765623000774103
1 15 16 0.03301965896038361
1 15 17 0.40284869136290924
1 15 18 0.49292558060429303
1 15 19 0.3844268020832097
1 15 20 0.39298655900421997
1 16 1 0.18588719846176693
1 16 2 0.4133599572957626
1 16 4 0.0744281904456191
1 16 6 0.13863952576758198
1 16 7 0.2976902872150601
1 16 8 0.32681838634258276
1 16 9 0.046413799074041195
1 16 10 0.3314479275041158
1 16 11 0.06552678543973223
1 16 12 0.014931461705478988
1 16 13 0.28763194422709193
1 16 14 0.2979896487437712
1 16 15 0.26473120728396315
1 16 16 0.3289832478012136
1 16 17 0.3403033196927623
1 16 18 0.47427824955117803
1 16 19 0.21481851999832524
1 16 20 0.3768275416583601
1 17 1 0.12619704809893884
1 17 2 0.12159907150326388
1 17 3 0.4649189484986527
1 17 4 0.1579882064192808
1 17 6 0.20420940416525835
1 17 9 0.3277481476297698
1 17 10 0.2935156427906702
1 17 11 0.0739297914749456
1 17 12 0.10348130243006837
1 17 13 0.041617180837782985
1 17 14 0.32669203833449867
1 17 15 0.4144208381363855
1 17 16 0.06093896487189321
1 17 17 0.3104996395615862
1 17 18 0.33843349509806686
1 17 19 0.039652893631028197
1 17 20 0.1597172946640738
1 18 1 0.4095199077079208
1 18 2 0.08157464237626755
1 18 3 0.45516011782958454
1 18 4 0.20977273521874262
1 18 5 0.30554578792542475
1 18 6 0.3514582970052078
1 18 7 0.09020962787901243
1 18 8 0.33217291094802726
1 18 9 0.08236014024449512
1 18 10 0.06340889230067415
1 18 11 0.377107976017542
1 18 12 0.4626192710267033
1 18 13 0.24256526894799446
1 18 14 0.017996912547970867
1 18 15 0.20414956453640132
1 18 16 0.4452176254187611
1 18 18 0.005436771303847121
1 18 19 0.29524033970539665
1 18 20 0.04843118689573456
1 19 1 0.32195813779741356
1 19 2 0.19512868352234236
1 19 3 0.12151865371116899
1 19 4 0.12954827686099724
1 19 5 0.36995990301318793
1 19 6 0.054652538667535056
1 19 7 0.26509695325079363
1 19 8 0.2904314741841141
1 19 9 0.1939229567368166
1 19 10 0.4320922223183712
1 19 11 0.3496772738351406
1 19 12 0.20969973562387667
1 19 13 0.2087304826461175
1 19 14 0.32949516514709654
1 19 16 0.274458928867905
1 19 17 0.30214064208625746
1 19 18 0.4616956602698741
1 19 19 0.12988294692429792
1 19 20 0.1705145488673424
1 20 1 0.2180609612907385
1 20 2 0.02009406469060615
1 20 3 0.08285860481462637
1 20 4 0.201226148754866
1 20 5 0.47637364504882984
1 20 6 0.03960832515789414
1 20 8 0.3561926548327683
1 20 9 0.34710628140768085
1 20 10 0.333272981653303
1 20 11 0.25516134154228176
1 20 12 0.22865806794850285
1 20 13 0.13855644388794952
1 20 15 0.09957893484498259
1 20 16 0.43687091713992177
1 20 17 0.20109536025699315
1 20 18 0.24250006871256224
1 20 20 0.09881829404432951
2 1 1 0.27975068852156615
2 1 2 0.4777411066019266
2 1 3 0.312074330568735
2 1 4 0.14740813582319
2 1 5 0.27636683902573544
2 1 6 0.477607008514782
2 1 7 0.3518778427856094
2 1 8 0.04484773299794076
2 1 9 0.3818650059294887
2 1 10 0.07425262288221612
2 1 11 0.07040968388319235
2 1 12 0.3993826809546869
2 1 13 0.3508558735756071
2 1 14 0.12206134729008533
2 1 16 0.39392270506736593
2 1 17 0.4376870765044323
2 1 18 0.19186249952222934
2 1 19 0.0883714587909954
2 1 20 0.11144163338869051
2 2 1 0.009912148950018573
2 2 2 0.37499672843872
2 2 3 0.20717032134250868
2 2 4 0.10554599178171842
2 2 5 0.37264222088738164
2 2 6 0.007089024284745116
2 2 7 0.3918641466349727
2 2 8 0.09594000536082903
2 2 9 0.18320252910746915
2 2 10 0.3927713511031313
2 2 11 0.43370596205457734
2 2 12 0.10509021056639978
2 2 13 0.4783799544338976
2 2 14 0.49776929651834323
2 2 15 0.3532923303919544
2 2 16 0.174157789310445
2 2 17 0.2042441546394096
2 2 18 0.3766167995906451
2 2 19 0.3548122965423248
2 2 20 0.4307796933370557
2 3 1 0.28482051387716634
2 3 2 0.07043830533760065
2 3 3 0.04401342440444078
2 3 4 0.14706117156722498
2 3 5 0.13939880066670995
2 3 6 0.2632992124878588
2 3 7 0.038151474982026534
2 3 8 0.23194939870523523
2 3 9 0.48441517347615315
2 3 10 0.07736580842021634
2 3 12 0.23585884491834697
2 3 13 0.09748350261042371
2 3 14 0.18323180793495963
2 3 15 0.05649762158054872
2 3 16 0.15768985107422273
2 3 17 0.32592861186362254
2 3 18 0.26801290865737537
2 3 19 0.1414858248482067
2 3 20 0.380249071436803
2 4 1 0.49865270636942904
2 4 2 0.44065756459303906
2 4 3 0.18026101941094042
2 4 4 0.3406178663471404
2 4 5 0.4120966801728022
2 4 6 0.3674738592268497
2 4 7 0.43025237938272987
2 4 8 0.15475652239258086
2 4 9 0.4888805580377078
2 4 10 0.27189950274153174
2 4 11 0.13452644231721356
2 4 12 0.11216841653815701
2 4 13 0.13568171021729192
2 4 14 0.12705836301446038
2 4 15 0.04382367534216436
2 4 16 0.4383208385120454
2 4 17 0.15148558249087063
2 4 18 0.07244310590849046
2 4 19 0.23577322619795926
2 5 1 0.49555729825270445
2 5 2 0.02209632408580764
2 5 3 0.4480136352570009
2 5 6 0.2034542274011899
2 5 7 0.13408859401282802
2 5 8 0.3289213031513635
2 5 9 0.30933383021453464
2 5 10 0.3126911231517494
2 5 12 0.09552544393339513
2 5 13 0.11592477718057448
2 5 14 0.07610486255661542
2 5 15 0.30420558447840285
2 5 16 0.2298924250916553
2 5 17 0.19303716556692907
2 5 18 0.18755900865461905
2 5 19 0.3309319585698208
2 5 20 0.4854277331053575
2 6 1 0.43250189997175525
2 6 2 0.0728215281798732
2 6 3 0.029793739591286617
2 6 4 0.07854140617313676
2 6 5 0.02354839914914464
2 6 6 0.4603591994301116
2 6 7 0.49517828524790264
2 6 8 0.4352484559607941
2 6 9 0.13927887253341797
2 6 10 0.2942134319087838
2 6 11 0.39708172314569035
2 6 12 0.08455002253404065
2 6 13 0.2038836867140894
2 6 14 0.11269448086342382
2 6 16 0.10151640037533316
2 6 17 0.24284816168994772
2 6 18 0.06748415170303024
2 6 19 0.43674510142224476
2 6 20 0.17628600247694592
2 7 1 0.37971667125643815
2 7 2 0.052524623616225896
2 7 4 0.4388601125919337
2 7 5 0.08532898769218245
2 7 6 0.3835444797597314
2 7 7 0.21947583869025278
2 7 8 0.08407391492392502
2 7 9 0.4970507361431602
2 7 10 0.23221134076822214
2 7 12 0.15110653294587417
2 7 13 0.17874273782046335
2 7 14 0.425033864530297
2 7 15 0.4476812955995857
2 7 17 0.18148807450244975
2 7 18 0.4796087157959461
2 7 19 0.11587107693347853
2 7 20 0.05267715525514427
2 8 1 0.42674473529265466
2 8 2 0.31526860022333747
2 8 3 0.045481348505298835
2 8 4 0.061952691002665095
2 8 5 0.06335897739914997
2 8 6 0.22470854725819323
2 8 8 0.24584682479011943
2 8 9 0.0890893819081191
2 8 10 0.030196580338872625
2 8 11 0.4765469039250285
2 8 13 0.40881209457616885
2 8 14 0.15594650396220977
2 8 15 0.4401554810716163
2 8 17 0.3601718608117228
2 8 18 0.055130216775414964
2 8 19 0.27427980936929286
2 8 20 0.026762133697286528
2 9 1 0.054046619241508
2 9 2 0.1083686998751825
2 9 4 0.1500559379493115
2 9 5 0.15774558672284167
2 9 6 0.34130512836446303
2 9 7 0.11180610357802379
2 9 8 0.20978729141325148
2 9 9 0.21019107594203146
2 9 11 0.44705355426393933
2 9 12 0.4485378920610986
2 9 13 0.015397200273212563
2 9 14 0.4723055470673858
2 9 15 0.33053625161776945
2 9 16 0.1664905516607198
2 9 17 0.2951435754266388
2 9 18 0.3668660040060423
2 9 19 0.10159820460810698
2 9 20 0.07104853710032022
2 10 1 0.4097080622019724
2 10 2 0.19227137988759058
2 10 3 0.24945583906889301
2 10 4 0.4282131198037358
2 10 5 0.04885870997198505
2 10 6 0.4078186662995863
2 10 8 0.2557305952065988
2 10 9 0.4908511105213387
2 10 10 0.315333218308091
2 10 11 0.08113424846395689
2 10 12 0.43025276691250314
2 10 13 0.4424307219386777
2 10 14 0.10118644211533057
2 10 15 0.3739851594146848
2 10 16 0.04752806759256534
2 10 17 0.24796857199180922
2 10 18 0.4736404186644506
2 10 19 0.32736827920238476
2 10 20 0.4608780873093775
2 11 1 0.1694653625424548
2 11 2 0.45933741125313865
2 11 3 0.29115238917893227
2 11 4 0.4412665451601637
2 11 5 0.3139379378033673
2 11 7 0.1309490826877766
2 11 8 0.21826119790103382
2 11 9 0.0721012023198343
2 11 10 0.4479248518128365
2 11 11 0.042171684684312316
2 11 13 0.06561895391555639
2 11 14 0.4296213867909573
2 11 15 0.39641521195017326
2 11 16 0.15742152578730173
2 11 17 0.17636490513813352
2 11 18 0.027129155104539837
2 11 19 0.10580119468296134
2 11 20 0.49947626000937995
2 12 1 0.16892589381763512
2 12 2 0.20517561737923196
2 12 3 0.33293134402063673
2 12 4 0.39373944655631976
2 12 5 0.48123187027359926
2 12 6 0.000310857378256868
2 12 7 0.469285572412769
2 12 8 0.36807945244190554
2 12 9 0.06486439503505892
2 12 10 0.46805430033790685
2 12 11 0.14321344619931564
2 12 12 0.13461749764046427
2 12 13 0.4414543603842255
2 12 14 0.2632686848980076
2 12 15 0.07310268248193008
2 12 16 0.4904649309672159
2 12 18 0.2922112447151677
2 12 19 0.3715949560153051
2 12 20 0.2366145404098271
2 13 1 0.24643889430952415
2 13 2 0.13663270715990017
2 13 3 0.23478111753599984
2 13 4 0.1939230559327909
2 13 5 0.024926115483617672
2 13 6 0.31553878752154296
2 13 7 0.2590943328967218
2 13 8 0.44051016758179784
2 13 9 0.3494237060527049
2 13 11 0.0031506574387388797
2 13 12 0.298113464538201
2 13 13 0.23926652881335342
2 13 14 0.44872805865192633
2 13 15 0.008706839380720588
2 13 16 0.442794406373451
2 13 17 0.10155641867038145
2 13 18 0.24384554527998858
2 13 19 0.3797952585851503
2 13 20 0.2225140326680931
2 14 1 0.3933681907032912
2 14 2 0.33730807851990685
2 14 3 0.1577279954656331
2 14 4 0.11903146971634337
2 14 5 0.2285731351079967
2 14 6 0.3415896852810787
2 14 8 0.2611357942469785
2 14 9 0.09067919481936859
2 14 10 0.060971961514344475
2 14 11 0.3291521099104182
2 14 12 0.005322258706807137
2 14 13 0.4989645919470005
2 14 14 0.07851868728018596
2 14 15 0.32325980528038023
2 14 16 0.17973481028365923
2 14 17 0.43445248420805216
2 14 18 0.06474183389393762
2 14 20 0.11683945203585988
2 15 1 0.2360350499350986
2 15 2 0.1482857996055379
2 15 3 0.2792515571943972
2 15 4 0.07527693399668467
2 15 5 0.3628143759828919
2 15 6 0.3617329692272321
2 15 8 0.19973293041923879
2 15 9 0.40736212245272574
2 15 10 0.19406701590876463
2 15 12 0.1191115883083308
2 15 13 0.12885405651591286
2 15 14 0.2921152664240252
2 15 16 0.24412097229492757
2 15 17 0.38904229682853053
2 15 18 0.23747404478443224
2 15 19 0.2118209586141112
2 15 20 0.22450114357863926
2 16 1 0.3500631165239707
2 16 2 0.4750488357189596
2 16 3 0.07211004557460277
2 16 4 0.0015008013596475855
2 16 6 0.12045775592766106
2 16 7 0.45756417986296927
2 16 8 0.3204005835032919
2 16 9 0.02590021131636777
2 16 10 0.17273223785444658
2 16 11 0.1601109288052983
2 16 12 0.175728698267006
2 16 13 0.13116540337476812
2 16 14 0.17876749937023972
2 16 15 0.3743272129401267
2 16 16 0.46427735641748014
2 16 17 0.3603207026734705
2 16 18 0.07741874877661836
2 16 19 0.002604707053535993
2 16 20 0.3970142024917874
2 17 1 0.3963824916059361
2 17 2 0.21601784140249303
2 17 3 0.07558647962431364
2 17 4 0.4961594674455635
2 17 6 0.2886782483973831
2 17 7 0.46330016133162766
2 17 9 0.3039300612955119
2 17 10 0.26105312463247754
2 17 11 0.10572997647535987
2 17 12 0.024659298796603557
2 17 13 0.3015167327563024
2 17 16 0.3962299000620173
2 17 17 0.45461057716605713
2 17 18 0.30764103277902966
2 17 19 0.45037059335783036
2 17 20 0.45739496173411054
2 18 2 0.4184365481687924
2 18 3 0.1739323950579349
2 18 4 0.19938666881584166
2 18 5 0.4708180721752473
2 18 6 0.1050598761200755
2 18 7 0.34971420514224283
2 18 8 0.43954674037956476
2 18 9 0.37391046118215054
2 18 10 0.2451569577361845
2 18 11 0.1506957010649156
2 18 13 0.1672558702533613
2 18 14 0.14978064826202075
2 18 15 0.2812276127174447
2 18 16 0.38766466881197903
2 18 17 0.24710351919204743
2 18 18 0.27830009229363495
2 18 19 0.31174578114685136
2 18 20 0.08820470881869458
2 19 1 0.3434231563204956
2 19 2 0.07022365864395208
2 19 3 0.38968455980408434
2 19 4 0.3879233335957376
2 19 5 0.053017290065662026
2 19 6 0.1647243617888241
2 19 7 0.4627979495099662
2 19 8 0.4399969720359679
2 19 10 0.49039201843711666
2 19 11 0.40949374897961166
2 19 12 0.19503667869952734
2 19 13 0.09159656790727322
2 19 14 0.44616469290556515
2 19 15 0.2502849900508576
2 19 16 0.06536405824334168
2 19 18 0.4918452580492433
2 19 19 0.3261222835946874
2 20 2 0.36458159441231985
2 20 3 0.426500981146242
2 20 4 0.346783910747119
2 20 5 0.21936633735603472
2 20 6 0.05373005719458934
2 20 7 0.4542662767448862
2 20 8 0.17836136028483662
2 20 9 0.40962110785182093
2 20 10 0.13927537309450444
2 20 11 0.05810632535280502
2 20 12 0.19069828436476044
2 20 13 0.13363149032450805
2 20 15 0.15708977531090784
2 20 16 0.4995916483440749
2 20 17 0.2636565293045894
2 20 18 0.002265853493084169
2 20 19 0.10813293840869376
2 20 20 0.16431542543991462
3 1 1 0.49515162802996127
3 1 2 0.15365039656553725
3 1 3 0.46927490596188426
3 1 4 0.30574214866786675
3 1 5 0.38876564513932854
3 1 6 0.24149871345681428
3 1 7 0.12982010598587157
3 1 8 0.10475159860127747
3 1 9 0.29609338476709923
3 1 10 0.3277222181133843
3 1 11 0.23841840395538672
3 1 12 0.4092247575056652
3 1 14 0.2673083888064919
3 1 15 0.32166475439550646
3 1 16 0.01281779979850095
3 1 17 0.2133907442625439
3 1 18 0.29173348698520896
3 1 19 0.436367440841959
3 1 20 0.05881083875696269
3 2 1 0.44768826372169734
3 2 2 0.2532404098523623
3 2 3 0.4810691006238732
3 2 4 0.017086311986180602
3 2 5 0.21742510148137428
3 2 8 0.22725910760351498
3 2 9 0.3897757933857945
3 2 10 0.011192369733438623
3 2 12 0.2228465176183022
3 2 13 0.32097779792708314
3 2 15 0.4273731157528152
3 2 16 0.3654893506691641
3 2 17 0.25768260511701824
3 2 18 0.3727739691748585
3 2 19 0.16750032997953368
3 2 20 0.36926671637497266
3 3 1 0.20079339099658067
3 3 2 0.10840715216903996
3 3 3 0.29026334275315824
3 3 5 0.19253947280841277
3 3 6 0.2754628665692005
3 3 7 0.18070841191121512
3 3 8 0.24966755431414367
3 3 10 0.002203071863606798
